Song,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Anywhere,Rita Ora,spotify:track:7EI6Iki24tBHAMxtb4xQN2,0.628,0.797,11,-3.953,0,0.0596,0.0364,0.0,0.104,0.321,106.93,audio_features,7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2,215064,4
Book Of Love,Felix Jaehn,spotify:track:47NTskHaXv46jp21vFj8tD,0.656,0.835,9,-4.915,0,0.0278,0.166,0.0116,0.218,0.455,125.023,audio_features,47NTskHaXv46jp21vFj8tD,https://api.spotify.com/v1/tracks/47NTskHaXv46jp21vFj8tD,https://api.spotify.com/v1/audio-analysis/47NTskHaXv46jp21vFj8tD,198439,4
Thunderclouds,Sia,spotify:track:5a8RPWgKSmcGBGcffmIrUi,0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,audio_features,5a8RPWgKSmcGBGcffmIrUi,https://api.spotify.com/v1/tracks/5a8RPWgKSmcGBGcffmIrUi,https://api.spotify.com/v1/audio-analysis/5a8RPWgKSmcGBGcffmIrUi,187027,4
Ensemble,Kids United,spotify:track:0IB4sNc2voixWTSN5QMRAw,0.709,0.629,8,-5.865,1,0.0417,0.0986,0.0,0.101,0.133,115.103,audio_features,0IB4sNc2voixWTSN5QMRAw,https://api.spotify.com/v1/tracks/0IB4sNc2voixWTSN5QMRAw,https://api.spotify.com/v1/audio-analysis/0IB4sNc2voixWTSN5QMRAw,186352,4
hate u love u,Olivia O'Brien,spotify:track:6ATgDc6e4sPn84hvJsAmPt,0.407,0.416,6,-8.915,0,0.174,0.656,0.0,0.0981,0.246,176.947,audio_features,6ATgDc6e4sPn84hvJsAmPt,https://api.spotify.com/v1/tracks/6ATgDc6e4sPn84hvJsAmPt,https://api.spotify.com/v1/audio-analysis/6ATgDc6e4sPn84hvJsAmPt,175467,4
Wohin willst du - Akustikversion 2017,LEA,spotify:track:6p312igBNT1Lax8hFULdY7,0.355,0.119,3,-10.563,1,0.0374,0.928,2.3e-06,0.113,0.327,98.729,audio_features,6p312igBNT1Lax8hFULdY7,https://api.spotify.com/v1/tracks/6p312igBNT1Lax8hFULdY7,https://api.spotify.com/v1/audio-analysis/6p312igBNT1Lax8hFULdY7,253987,4
Das Leben ist schön,Sarah Connor,spotify:track:5yGFNC0OxANueuTsQfLuTA,0.7,0.188,0,-10.419,1,0.0351,0.908,0.0,0.0939,0.358,139.203,audio_features,5yGFNC0OxANueuTsQfLuTA,https://api.spotify.com/v1/tracks/5yGFNC0OxANueuTsQfLuTA,https://api.spotify.com/v1/audio-analysis/5yGFNC0OxANueuTsQfLuTA,197533,4
Wie schön du bist,Sarah Connor,spotify:track:18dqh35M7rcNQ3cTMkTk2a,0.366,0.532,5,-6.054,1,0.034,0.00718,3.79e-06,0.109,0.141,88.05,audio_features,18dqh35M7rcNQ3cTMkTk2a,https://api.spotify.com/v1/tracks/18dqh35M7rcNQ3cTMkTk2a,https://api.spotify.com/v1/audio-analysis/18dqh35M7rcNQ3cTMkTk2a,218546,4
Something Just Like This,One Voice Children's Choir,spotify:track:6MGAweGVjU5IcCtOg4fu0H,0.773,0.611,4,-5.887,1,0.0343,0.67,0.0,0.117,0.911,109.968,audio_features,6MGAweGVjU5IcCtOg4fu0H,https://api.spotify.com/v1/tracks/6MGAweGVjU5IcCtOg4fu0H,https://api.spotify.com/v1/audio-analysis/6MGAweGVjU5IcCtOg4fu0H,128893,4
Ich wünschte du könntest das sehen - From The Voice Of Germany,Dimi Rompos,spotify:track:26yTnIlAuE5Al0NAYgXbgb,0.493,0.382,2,-7.037,0,0.0421,0.588,1.66e-06,0.118,0.257,124.512,audio_features,26yTnIlAuE5Al0NAYgXbgb,https://api.spotify.com/v1/tracks/26yTnIlAuE5Al0NAYgXbgb,https://api.spotify.com/v1/audio-analysis/26yTnIlAuE5Al0NAYgXbgb,216760,4
For You (With Rita Ora),Liam Payne,spotify:track:4c05bmg2bxPJLySE5DbLze,0.535,0.8,2,-4.569,0,0.0342,0.0183,0.0,0.421,0.175,113.023,audio_features,4c05bmg2bxPJLySE5DbLze,https://api.spotify.com/v1/tracks/4c05bmg2bxPJLySE5DbLze,https://api.spotify.com/v1/audio-analysis/4c05bmg2bxPJLySE5DbLze,242828,4
Havana - Remix,Camila Cabello,spotify:track:3whrwq4DtvucphBPUogRuJ,0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,audio_features,3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/tracks/3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/audio-analysis/3whrwq4DtvucphBPUogRuJ,199095,4
Don't Leave Me Alone (feat. Anne-Marie),David Guetta,spotify:track:2zy9TMoZlYGuCNY4TLqG24,0.694,0.617,4,-7.838,0,0.0469,0.177,0.0,0.11,0.496,127.928,audio_features,2zy9TMoZlYGuCNY4TLqG24,https://api.spotify.com/v1/tracks/2zy9TMoZlYGuCNY4TLqG24,https://api.spotify.com/v1/audio-analysis/2zy9TMoZlYGuCNY4TLqG24,183747,4
Leiser - Salt & Waves Edit,LEA,spotify:track:3LrhnvQ0LpXlowZtcOt2Bf,0.728,0.747,0,-5.367,1,0.0306,0.342,1.51e-05,0.0813,0.27,107.998,audio_features,3LrhnvQ0LpXlowZtcOt2Bf,https://api.spotify.com/v1/tracks/3LrhnvQ0LpXlowZtcOt2Bf,https://api.spotify.com/v1/audio-analysis/3LrhnvQ0LpXlowZtcOt2Bf,191640,4
Rooftop,Nico Santos,spotify:track:67HXZV6V4bD1PhHfafolBv,0.717,0.732,0,-5.774,1,0.167,0.225,0.0,0.0574,0.598,82.045,audio_features,67HXZV6V4bD1PhHfafolBv,https://api.spotify.com/v1/tracks/67HXZV6V4bD1PhHfafolBv,https://api.spotify.com/v1/audio-analysis/67HXZV6V4bD1PhHfafolBv,197000,4
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,spotify:track:5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4
I'm Still Here,Sia,spotify:track:5KGTKwOePys7aH4o6EzXEP,0.437,0.719,6,-4.569,0,0.0376,0.00697,3.86e-05,0.0765,0.284,169.976,audio_features,5KGTKwOePys7aH4o6EzXEP,https://api.spotify.com/v1/tracks/5KGTKwOePys7aH4o6EzXEP,https://api.spotify.com/v1/audio-analysis/5KGTKwOePys7aH4o6EzXEP,241910,4
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,spotify:track:78nplE9X2ZGvQh3TKgvldE,0.67,0.743,10,-4.993,1,0.0393,0.237,0.0,0.465,0.571,125.944,audio_features,78nplE9X2ZGvQh3TKgvldE,https://api.spotify.com/v1/tracks/78nplE9X2ZGvQh3TKgvldE,https://api.spotify.com/v1/audio-analysis/78nplE9X2ZGvQh3TKgvldE,218293,4
Be Alright,Dean Lewis,spotify:track:5qrSlOut2rNAWv3ubArkNy,0.551,0.537,11,-7.595,1,0.034,0.705,0.0,0.0802,0.493,126.421,audio_features,5qrSlOut2rNAWv3ubArkNy,https://api.spotify.com/v1/tracks/5qrSlOut2rNAWv3ubArkNy,https://api.spotify.com/v1/audio-analysis/5qrSlOut2rNAWv3ubArkNy,196493,4
Honey - Single Edit,Robyn,spotify:track:0Kme9ojMj3FlDBt4r11kmj,0.61,0.621,11,-8.159,0,0.0779,0.0216,0.000176,0.119,0.0824,115.975,audio_features,0Kme9ojMj3FlDBt4r11kmj,https://api.spotify.com/v1/tracks/0Kme9ojMj3FlDBt4r11kmj,https://api.spotify.com/v1/audio-analysis/0Kme9ojMj3FlDBt4r11kmj,231083,4
Paradise,Hm8,spotify:track:6O5XYgj8zR8bgjuttcYnYs,0.668,0.696,1,-6.19,1,0.0632,0.138,0.0,0.0947,0.392,121.989,audio_features,6O5XYgj8zR8bgjuttcYnYs,https://api.spotify.com/v1/tracks/6O5XYgj8zR8bgjuttcYnYs,https://api.spotify.com/v1/audio-analysis/6O5XYgj8zR8bgjuttcYnYs,193528,4
Through the Stars,Kinnie Lane,spotify:track:2xlZ0YqEmdXuqYrauMH9cB,0.698,0.712,8,-4.184,0,0.0611,0.0189,0.00017,0.0566,0.458,97.971,audio_features,2xlZ0YqEmdXuqYrauMH9cB,https://api.spotify.com/v1/tracks/2xlZ0YqEmdXuqYrauMH9cB,https://api.spotify.com/v1/audio-analysis/2xlZ0YqEmdXuqYrauMH9cB,232605,4
Where Is My Love,OT,spotify:track:6cdaq1gYlG17gJ120luTdY,0.785,0.476,7,-9.007,1,0.0532,0.708,3.34e-06,0.257,0.464,108.005,audio_features,6cdaq1gYlG17gJ120luTdY,https://api.spotify.com/v1/tracks/6cdaq1gYlG17gJ120luTdY,https://api.spotify.com/v1/audio-analysis/6cdaq1gYlG17gJ120luTdY,188877,4
Let Her Go,R&R Project,spotify:track:0nAXCba9zmGSdoKMRwECP1,0.704,0.893,9,-4.885,0,0.151,0.0167,0.0,0.11,0.331,128.112,audio_features,0nAXCba9zmGSdoKMRwECP1,https://api.spotify.com/v1/tracks/0nAXCba9zmGSdoKMRwECP1,https://api.spotify.com/v1/audio-analysis/0nAXCba9zmGSdoKMRwECP1,159017,4
Einmal,Mark Forster,spotify:track:2t8QolI8gVL9qv9LsXgBgq,0.779,0.689,8,-6.882,1,0.0971,0.0392,0.0,0.133,0.778,127.978,audio_features,2t8QolI8gVL9qv9LsXgBgq,https://api.spotify.com/v1/tracks/2t8QolI8gVL9qv9LsXgBgq,https://api.spotify.com/v1/audio-analysis/2t8QolI8gVL9qv9LsXgBgq,198013,4
Thursday - Jack Wins Remix,Jess Glynne,spotify:track:3R8S1GwdxcxToFH0JmMKjR,0.74,0.885,11,-4.057,0,0.0544,0.0317,0.0,0.109,0.679,124.01,audio_features,3R8S1GwdxcxToFH0JmMKjR,https://api.spotify.com/v1/tracks/3R8S1GwdxcxToFH0JmMKjR,https://api.spotify.com/v1/audio-analysis/3R8S1GwdxcxToFH0JmMKjR,198050,4
"Jennie (feat. R. City, Bori)",Felix Jaehn,spotify:track:7uM7YZwNZqdDMG0NfGhmux,0.799,0.798,11,-5.407,1,0.183,0.0856,0.0,0.0808,0.594,118.071,audio_features,7uM7YZwNZqdDMG0NfGhmux,https://api.spotify.com/v1/tracks/7uM7YZwNZqdDMG0NfGhmux,https://api.spotify.com/v1/audio-analysis/7uM7YZwNZqdDMG0NfGhmux,184231,4
Lebe mit mir los - Remix by Felix Jaehn,Herbert Grönemeyer,spotify:track:2q6i5AZ0nY06qJwinOOrFf,0.692,0.79,7,-8.109,0,0.132,0.116,0.00151,0.123,0.47,125.07,audio_features,2q6i5AZ0nY06qJwinOOrFf,https://api.spotify.com/v1/tracks/2q6i5AZ0nY06qJwinOOrFf,https://api.spotify.com/v1/audio-analysis/2q6i5AZ0nY06qJwinOOrFf,185720,4
Make Me Feel,Janelle Monáe,spotify:track:5gW5dSy3vXJxgzma4rQuzH,0.859,0.413,1,-7.399,1,0.182,0.132,0.0,0.334,0.697,115.035,audio_features,5gW5dSy3vXJxgzma4rQuzH,https://api.spotify.com/v1/tracks/5gW5dSy3vXJxgzma4rQuzH,https://api.spotify.com/v1/audio-analysis/5gW5dSy3vXJxgzma4rQuzH,194230,4
I'm a Mess,Bebe Rexha,spotify:track:04ZTP5KsCypmtCmQg5tH9R,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,audio_features,04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/audio-analysis/04ZTP5KsCypmtCmQg5tH9R,195519,4
5 dollars,Christine and the Queens,spotify:track:5KO53tfiVN6daF4w6twc63,0.726,0.654,2,-6.201,1,0.0423,0.424,0.0,0.0668,0.624,129.013,audio_features,5KO53tfiVN6daF4w6twc63,https://api.spotify.com/v1/tracks/5KO53tfiVN6daF4w6twc63,https://api.spotify.com/v1/audio-analysis/5KO53tfiVN6daF4w6twc63,208293,4
Happy Now,Kygo,spotify:track:14sOS5L36385FJ3OL8hew4,0.693,0.575,9,-6.998,1,0.0801,0.374,0.0,0.252,0.492,117.999,audio_features,14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4,211362,4
So Close,NOTD,spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03,audio_features,7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/tracks/7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/audio-analysis/7FjZU7XFs7P9jHI9Z0yRhK,190302,4
Home,Cheat Codes,spotify:track:72rMovcXnFRHQHDXBFnzvb,0.742,0.722,4,-3.443,0,0.0405,0.173,0.0,0.4,0.581,103.472,audio_features,72rMovcXnFRHQHDXBFnzvb,https://api.spotify.com/v1/tracks/72rMovcXnFRHQHDXBFnzvb,https://api.spotify.com/v1/audio-analysis/72rMovcXnFRHQHDXBFnzvb,181125,4
Never Let You Down,Michael Schulte,spotify:track:1zPzWCaB9LNc2q7IRbqFWb,0.636,0.694,8,-6.395,0,0.0315,0.125,3.82e-06,0.0911,0.449,114.959,audio_features,1zPzWCaB9LNc2q7IRbqFWb,https://api.spotify.com/v1/tracks/1zPzWCaB9LNc2q7IRbqFWb,https://api.spotify.com/v1/audio-analysis/1zPzWCaB9LNc2q7IRbqFWb,197733,4
Build A House (feat. Alle Farben),Stefanie Heinzmann,spotify:track:2mnJFWMGAlkp50hZNvIiAy,0.524,0.752,6,-4.798,0,0.0535,0.227,0.0,0.0984,0.464,110.323,audio_features,2mnJFWMGAlkp50hZNvIiAy,https://api.spotify.com/v1/tracks/2mnJFWMGAlkp50hZNvIiAy,https://api.spotify.com/v1/audio-analysis/2mnJFWMGAlkp50hZNvIiAy,182380,4
Secrets - Syn Cole Remix,P!nk,spotify:track:33wOasZTtxjRoWeFiHuR1a,0.702,0.796,9,-3.129,0,0.0522,0.0135,5.56e-06,0.15,0.61,125.998,audio_features,33wOasZTtxjRoWeFiHuR1a,https://api.spotify.com/v1/tracks/33wOasZTtxjRoWeFiHuR1a,https://api.spotify.com/v1/audio-analysis/33wOasZTtxjRoWeFiHuR1a,190476,4
Only Thing We Know,Alle Farben,spotify:track:3mLU745PdpAANfT4FxFxGC,0.861,0.71,7,-5.318,1,0.0897,0.159,1.91e-05,0.0611,0.667,119.986,audio_features,3mLU745PdpAANfT4FxFxGC,https://api.spotify.com/v1/tracks/3mLU745PdpAANfT4FxFxGC,https://api.spotify.com/v1/audio-analysis/3mLU745PdpAANfT4FxFxGC,172160,4
Lost & Found,Moonbootica,spotify:track:1TlSsrURYTeXDcuQ7RbBWy,0.809,0.808,0,-5.824,1,0.0354,0.00334,0.583,0.116,0.769,120.024,audio_features,1TlSsrURYTeXDcuQ7RbBWy,https://api.spotify.com/v1/tracks/1TlSsrURYTeXDcuQ7RbBWy,https://api.spotify.com/v1/audio-analysis/1TlSsrURYTeXDcuQ7RbBWy,267531,4
Bella ciao - HUGEL Remix,El Profesor,spotify:track:2dQzfKRaMKUCQgMpOtpLTh,0.842,0.488,11,-7.856,0,0.0844,0.218,0.00718,0.0877,0.647,126.019,audio_features,2dQzfKRaMKUCQgMpOtpLTh,https://api.spotify.com/v1/tracks/2dQzfKRaMKUCQgMpOtpLTh,https://api.spotify.com/v1/audio-analysis/2dQzfKRaMKUCQgMpOtpLTh,164955,4
Walk Alone (feat. Tom Walker),Rudimental,spotify:track:0ySwEFQoOhVaGBky9iCdFJ,0.576,0.719,11,-5.163,1,0.0397,0.156,0.0,0.305,0.545,94.921,audio_features,0ySwEFQoOhVaGBky9iCdFJ,https://api.spotify.com/v1/tracks/0ySwEFQoOhVaGBky9iCdFJ,https://api.spotify.com/v1/audio-analysis/0ySwEFQoOhVaGBky9iCdFJ,205409,4
Lullaby,Sigala,spotify:track:5xzCzOAOfRi4DOttSzvznR,0.725,0.834,5,-3.913,0,0.037,0.0784,1.27e-05,0.0834,0.859,120.026,audio_features,5xzCzOAOfRi4DOttSzvznR,https://api.spotify.com/v1/tracks/5xzCzOAOfRi4DOttSzvznR,https://api.spotify.com/v1/audio-analysis/5xzCzOAOfRi4DOttSzvznR,204022,4
Nevermind (Wankelmut Remix),Dennis Lloyd,spotify:track:1CNCmckkTkCoJ8FsuwwL7t,0.686,0.61,0,-7.882,0,0.0731,0.0249,1.81e-05,0.123,0.291,105.002,audio_features,1CNCmckkTkCoJ8FsuwwL7t,https://api.spotify.com/v1/tracks/1CNCmckkTkCoJ8FsuwwL7t,https://api.spotify.com/v1/audio-analysis/1CNCmckkTkCoJ8FsuwwL7t,181143,4
Mad Love,Sean Paul,spotify:track:3soOPBuMK8YMdWnV7xpEyf,0.793,0.824,2,-3.476,1,0.177,0.006,3.29e-06,0.169,0.611,98.019,audio_features,3soOPBuMK8YMdWnV7xpEyf,https://api.spotify.com/v1/tracks/3soOPBuMK8YMdWnV7xpEyf,https://api.spotify.com/v1/audio-analysis/3soOPBuMK8YMdWnV7xpEyf,199945,4
Roundabouts,Michael Patrick Kelly,spotify:track:6gCHeI7PgA4RzDsaXrLV6I,0.652,0.436,11,-8.866,1,0.0307,0.496,0.0,0.0964,0.228,97.06,audio_features,6gCHeI7PgA4RzDsaXrLV6I,https://api.spotify.com/v1/tracks/6gCHeI7PgA4RzDsaXrLV6I,https://api.spotify.com/v1/audio-analysis/6gCHeI7PgA4RzDsaXrLV6I,186200,4
Strangers,Halsey,spotify:track:4dsPSOjzWkyHNI3XqrKBfu,0.69,0.784,11,-4.724,1,0.056,0.01,4.08e-05,0.22,0.284,109.969,audio_features,4dsPSOjzWkyHNI3XqrKBfu,https://api.spotify.com/v1/tracks/4dsPSOjzWkyHNI3XqrKBfu,https://api.spotify.com/v1/audio-analysis/4dsPSOjzWkyHNI3XqrKBfu,221206,4
Boys,Lizzo,spotify:track:1ITsmuChPVC05ogvorAyVu,0.891,0.587,6,-4.281,0,0.115,0.00317,0.000154,0.0487,0.753,120.029,audio_features,1ITsmuChPVC05ogvorAyVu,https://api.spotify.com/v1/tracks/1ITsmuChPVC05ogvorAyVu,https://api.spotify.com/v1/audio-analysis/1ITsmuChPVC05ogvorAyVu,172630,4
Blow That Smoke,Major Lazer,spotify:track:2uojaCMZEGSayPTysogGtx,0.719,0.703,5,-4.93,0,0.0392,0.032,1.14e-05,0.0656,0.72,101.984,audio_features,2uojaCMZEGSayPTysogGtx,https://api.spotify.com/v1/tracks/2uojaCMZEGSayPTysogGtx,https://api.spotify.com/v1/audio-analysis/2uojaCMZEGSayPTysogGtx,223000,4
Side Effects,The Chainsmokers,spotify:track:0bGLvHd0ApdT4t0shCfpzG,0.669,0.711,8,-6.758,1,0.033,0.00217,0.0,0.466,0.544,110.01,audio_features,0bGLvHd0ApdT4t0shCfpzG,https://api.spotify.com/v1/tracks/0bGLvHd0ApdT4t0shCfpzG,https://api.spotify.com/v1/audio-analysis/0bGLvHd0ApdT4t0shCfpzG,172747,4
I Found You (with Calvin Harris),benny blanco,spotify:track:1kQhi22kyluRCnIPAXtxEZ,0.79,0.865,6,-4.159,1,0.0438,0.0264,0.0892,0.24,0.362,122.99,audio_features,1kQhi22kyluRCnIPAXtxEZ,https://api.spotify.com/v1/tracks/1kQhi22kyluRCnIPAXtxEZ,https://api.spotify.com/v1/audio-analysis/1kQhi22kyluRCnIPAXtxEZ,189165,4
Only You,Cheat Codes,spotify:track:2La7zH38lJ7MOkPZyMXgn8,0.629,0.742,4,-4.774,0,0.115,0.0854,0.0,0.0966,0.252,108.033,audio_features,2La7zH38lJ7MOkPZyMXgn8,https://api.spotify.com/v1/tracks/2La7zH38lJ7MOkPZyMXgn8,https://api.spotify.com/v1/audio-analysis/2La7zH38lJ7MOkPZyMXgn8,189440,4
Blah Blah Blah,Armin van Buuren,spotify:track:0tp6mwUt99QnfY95T30Lqj,0.378,0.963,5,-3.911,0,0.0682,0.00882,0.00357,0.294,0.16,103.406,audio_features,0tp6mwUt99QnfY95T30Lqj,https://api.spotify.com/v1/tracks/0tp6mwUt99QnfY95T30Lqj,https://api.spotify.com/v1/audio-analysis/0tp6mwUt99QnfY95T30Lqj,183519,3
Feel Okay,KALUMA,spotify:track:6393HCdWiBXxYnHDuPLhoL,0.662,0.68,1,-5.005,0,0.162,0.317,0.0,0.13,0.585,110.219,audio_features,6393HCdWiBXxYnHDuPLhoL,https://api.spotify.com/v1/tracks/6393HCdWiBXxYnHDuPLhoL,https://api.spotify.com/v1/audio-analysis/6393HCdWiBXxYnHDuPLhoL,153284,4
Summer Is a Curse,The Faim,spotify:track:0cSNN4fgW1RFDQV58eVRKK,0.473,0.757,9,-5.103,1,0.0483,0.000727,0.0,0.151,0.425,168.005,audio_features,0cSNN4fgW1RFDQV58eVRKK,https://api.spotify.com/v1/tracks/0cSNN4fgW1RFDQV58eVRKK,https://api.spotify.com/v1/audio-analysis/0cSNN4fgW1RFDQV58eVRKK,181216,4
Breathe,Jax Jones,spotify:track:6tvQzeCPwOytDlBYCIOY0n,0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,audio_features,6tvQzeCPwOytDlBYCIOY0n,https://api.spotify.com/v1/tracks/6tvQzeCPwOytDlBYCIOY0n,https://api.spotify.com/v1/audio-analysis/6tvQzeCPwOytDlBYCIOY0n,207630,4
Calypso,Luis Fonsi,spotify:track:4178A5NkEjcsGc64jpBO6d,0.866,0.859,1,-3.087,0,0.0587,0.138,0.0,0.401,0.923,109.972,audio_features,4178A5NkEjcsGc64jpBO6d,https://api.spotify.com/v1/tracks/4178A5NkEjcsGc64jpBO6d,https://api.spotify.com/v1/audio-analysis/4178A5NkEjcsGc64jpBO6d,200347,4
Copacabana,Leon Machère,spotify:track:214Mx6MSJhtaO1uPtZGqLH,0.735,0.849,2,-5.709,1,0.24,0.0598,0.0,0.156,0.623,97.893,audio_features,214Mx6MSJhtaO1uPtZGqLH,https://api.spotify.com/v1/tracks/214Mx6MSJhtaO1uPtZGqLH,https://api.spotify.com/v1/audio-analysis/214Mx6MSJhtaO1uPtZGqLH,209407,4
Brooklyn In The Summer,Aloe Blacc,spotify:track:5bTysxqGHXdSGiZVgljzCY,0.656,0.514,5,-5.27,1,0.0672,0.0914,0.0,0.058,0.818,120.073,audio_features,5bTysxqGHXdSGiZVgljzCY,https://api.spotify.com/v1/tracks/5bTysxqGHXdSGiZVgljzCY,https://api.spotify.com/v1/audio-analysis/5bTysxqGHXdSGiZVgljzCY,208214,4
Summertime Magic,Childish Gambino,spotify:track:4j3GWI86JvSaF0BLdmgcfF,0.76,0.579,0,-7.374,1,0.0569,0.0129,0.00351,0.106,0.125,100.01,audio_features,4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/tracks/4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/audio-analysis/4j3GWI86JvSaF0BLdmgcfF,213600,4
Made For Now,Janet Jackson,spotify:track:2Ul7yRZaxGcWCzQg7m632Z,0.76,0.888,6,-3.449,1,0.124,0.00307,1.49e-05,0.149,0.559,115.705,audio_features,2Ul7yRZaxGcWCzQg7m632Z,https://api.spotify.com/v1/tracks/2Ul7yRZaxGcWCzQg7m632Z,https://api.spotify.com/v1/audio-analysis/2Ul7yRZaxGcWCzQg7m632Z,210686,4
X (feat. Maluma & Ozuna) - Remix,Nicky Jam,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,audio_features,6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/tracks/6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/audio-analysis/6JjPBQfI2Y8nIjnm65X6Pw,235747,4
Lie,Tom Boxer,spotify:track:7tLb7ftOOttUEXJRj0OtTy,0.763,0.875,6,-1.737,0,0.106,0.0527,1.52e-05,0.124,0.934,93.008,audio_features,7tLb7ftOOttUEXJRj0OtTy,https://api.spotify.com/v1/tracks/7tLb7ftOOttUEXJRj0OtTy,https://api.spotify.com/v1/audio-analysis/7tLb7ftOOttUEXJRj0OtTy,175605,4
I Don't Dance (Without You) [with Enrique Iglesias],Matoma,spotify:track:4T9yanHV4GYebgn1hdokrZ,0.644,0.733,9,-6.87,0,0.121,0.0064,7.73e-05,0.507,0.336,104.99,audio_features,4T9yanHV4GYebgn1hdokrZ,https://api.spotify.com/v1/tracks/4T9yanHV4GYebgn1hdokrZ,https://api.spotify.com/v1/audio-analysis/4T9yanHV4GYebgn1hdokrZ,177825,4
All For You,Years & Years,spotify:track:3xzmbGtaMnGUUhOcvqIN05,0.65,0.718,1,-4.365,0,0.0384,0.135,9.53e-05,0.106,0.686,114.034,audio_features,3xzmbGtaMnGUUhOcvqIN05,https://api.spotify.com/v1/tracks/3xzmbGtaMnGUUhOcvqIN05,https://api.spotify.com/v1/audio-analysis/3xzmbGtaMnGUUhOcvqIN05,219640,4
Vogel aus Gold (feat. Bill Kaulitz),Nisse,spotify:track:3vx5hpVcQTu918Z6DYJMOI,0.712,0.701,7,-6.24,0,0.0293,0.101,0.0,0.102,0.579,124.986,audio_features,3vx5hpVcQTu918Z6DYJMOI,https://api.spotify.com/v1/tracks/3vx5hpVcQTu918Z6DYJMOI,https://api.spotify.com/v1/audio-analysis/3vx5hpVcQTu918Z6DYJMOI,226760,4
Kiss Me - Single Mix,Rea Garvey,spotify:track:6DYeipDahyucLXhMmtPWqJ,0.518,0.881,11,-3.557,0,0.0466,0.00319,2.86e-06,0.195,0.378,152.992,audio_features,6DYeipDahyucLXhMmtPWqJ,https://api.spotify.com/v1/tracks/6DYeipDahyucLXhMmtPWqJ,https://api.spotify.com/v1/audio-analysis/6DYeipDahyucLXhMmtPWqJ,223947,4
The Same,Tom Mountain,spotify:track:569Sw3HcTGSWwYT7u8BWSQ,0.498,0.792,6,-5.098,0,0.0657,0.0508,5.45e-05,0.253,0.473,139.856,audio_features,569Sw3HcTGSWwYT7u8BWSQ,https://api.spotify.com/v1/tracks/569Sw3HcTGSWwYT7u8BWSQ,https://api.spotify.com/v1/audio-analysis/569Sw3HcTGSWwYT7u8BWSQ,233143,4
A Million Dreams,P!nk,spotify:track:4djczKSE0Kmrpsw8T9QuvC,0.312,0.499,7,-6.282,1,0.0397,0.272,0.0,0.0901,0.191,148.173,audio_features,4djczKSE0Kmrpsw8T9QuvC,https://api.spotify.com/v1/tracks/4djczKSE0Kmrpsw8T9QuvC,https://api.spotify.com/v1/audio-analysis/4djczKSE0Kmrpsw8T9QuvC,273640,4
Need Your Love,R&R Project,spotify:track:14i36v0D0TCowmR4RBynsU,0.664,0.733,8,-4.959,0,0.0661,0.014,0.0,0.0372,0.561,124.994,audio_features,14i36v0D0TCowmR4RBynsU,https://api.spotify.com/v1/tracks/14i36v0D0TCowmR4RBynsU,https://api.spotify.com/v1/audio-analysis/14i36v0D0TCowmR4RBynsU,192490,4
