Song,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Fredag,Kjartan Lauritzen,spotify:track:7kAYAYEfOy0ZkpGGLN3XiZ,0.765,0.779,8,-7.915,1,0.173,0.000957,0.0,0.115,0.68,115.014,audio_features,7kAYAYEfOy0ZkpGGLN3XiZ,https://api.spotify.com/v1/tracks/7kAYAYEfOy0ZkpGGLN3XiZ,https://api.spotify.com/v1/audio-analysis/7kAYAYEfOy0ZkpGGLN3XiZ,218246,4
Kulare Å Pule,A-Laget,spotify:track:3pmrHKMX0NDImPPVcWwhK8,0.77,0.752,8,-5.713,1,0.0473,0.0388,0.0,0.104,0.79,118.037,audio_features,3pmrHKMX0NDImPPVcWwhK8,https://api.spotify.com/v1/tracks/3pmrHKMX0NDImPPVcWwhK8,https://api.spotify.com/v1/audio-analysis/3pmrHKMX0NDImPPVcWwhK8,289886,4
I Never Loved This Hard This Fast Before,Tami Tamaki,spotify:track:5hJ5GKmAR48gxiYeR8hWus,0.58,0.373,9,-10.274,0,0.0826,0.453,0.193,0.163,0.291,54.859,audio_features,5hJ5GKmAR48gxiYeR8hWus,https://api.spotify.com/v1/tracks/5hJ5GKmAR48gxiYeR8hWus,https://api.spotify.com/v1/audio-analysis/5hJ5GKmAR48gxiYeR8hWus,262012,4
Good For You,Selena Gomez,spotify:track:6kBp8w67thoYqTUOQVSGFg,0.6,0.676,5,-6.447,0,0.0652,0.154,0.0,0.0741,0.217,88.928,audio_features,6kBp8w67thoYqTUOQVSGFg,https://api.spotify.com/v1/tracks/6kBp8w67thoYqTUOQVSGFg,https://api.spotify.com/v1/audio-analysis/6kBp8w67thoYqTUOQVSGFg,221560,4
Do You,Spoon,spotify:track:1DCoPLV3A6vSeERvjvMO28,0.676,0.94,4,-2.169,1,0.0272,0.0744,0.00055,0.192,0.931,128.094,audio_features,1DCoPLV3A6vSeERvjvMO28,https://api.spotify.com/v1/tracks/1DCoPLV3A6vSeERvjvMO28,https://api.spotify.com/v1/audio-analysis/1DCoPLV3A6vSeERvjvMO28,212653,4
Make Some Noise,Beastie Boys,spotify:track:2Bz2Q1JNwwPj40T9AvzE7f,0.712,0.887,2,-5.049,1,0.144,0.0192,1.11e-05,0.0597,0.63,98.036,audio_features,2Bz2Q1JNwwPj40T9AvzE7f,https://api.spotify.com/v1/tracks/2Bz2Q1JNwwPj40T9AvzE7f,https://api.spotify.com/v1/audio-analysis/2Bz2Q1JNwwPj40T9AvzE7f,210360,4
Constantly Hating (feat. Birdman),Young Thug,spotify:track:1UIUkZtlgyrjPcH2agNomU,0.712,0.449,4,-9.765,1,0.631,0.275,0.0,0.201,0.555,170.075,audio_features,1UIUkZtlgyrjPcH2agNomU,https://api.spotify.com/v1/tracks/1UIUkZtlgyrjPcH2agNomU,https://api.spotify.com/v1/audio-analysis/1UIUkZtlgyrjPcH2agNomU,267440,4
Hemingway 2016,Ganic,spotify:track:37KlFtFycP6todrAmWRQwt,0.785,0.693,8,-6.032,1,0.26,0.00944,0.148,0.125,0.593,129.924,audio_features,37KlFtFycP6todrAmWRQwt,https://api.spotify.com/v1/tracks/37KlFtFycP6todrAmWRQwt,https://api.spotify.com/v1/audio-analysis/37KlFtFycP6todrAmWRQwt,189345,4
Close Up,Peaches,spotify:track:5HLbmOJRp2Vmqw1oBXlUjp,0.82,0.735,11,-7.026,1,0.0411,0.0656,0.743,0.125,0.0948,109.971,audio_features,5HLbmOJRp2Vmqw1oBXlUjp,https://api.spotify.com/v1/tracks/5HLbmOJRp2Vmqw1oBXlUjp,https://api.spotify.com/v1/audio-analysis/5HLbmOJRp2Vmqw1oBXlUjp,207427,4
Back to the Ordinary,Kid Astray,spotify:track:1iTuUNHVovJ8RDfjnqur4P,0.65,0.767,6,-5.261,0,0.0325,0.000519,0.000148,0.124,0.858,118.01,audio_features,1iTuUNHVovJ8RDfjnqur4P,https://api.spotify.com/v1/tracks/1iTuUNHVovJ8RDfjnqur4P,https://api.spotify.com/v1/audio-analysis/1iTuUNHVovJ8RDfjnqur4P,190412,4
